DayOfWeek,IntervalPeriod,Weekend,BusinessHours,TotalDemand,RRP
1,1,yes,no,6449.79,19.83
1,2,yes,no,6269.43,18.41
1,3,yes,no,6021.99,17.98
1,4,yes,no,5846.17,17.39
1,5,yes,no,5718.94,15.51
1,6,yes,no,5619.36,14.99
1,7,yes,no,5580.75,13.41
1,8,yes,no,5607.97,15.57
1,9,yes,no,5631.07,16.34
1,10,yes,no,5679.32,17.24
1,11,yes,no,5785.94,15.87
1,12,yes,no,5873.19,17.21
1,13,yes,no,6073.37,18.77
1,14,yes,no,6314.07,18.96
1,15,yes,no,6556.38,19.02
1,16,yes,yes,6801.57,18.96
1,17,yes,yes,7037.31,19.51
1,18,yes,yes,7148.99,20.35
1,19,yes,yes,7271.6,22.09
1,20,yes,yes,7321.94,22.44
1,21,yes,yes,7336.06,22.94
1,22,yes,yes,7330.86,23.52
1,23,yes,yes,7365.7,23.07
1,24,yes,yes,7408.57,24.34
1,25,yes,yes,7393.35,24.46
1,26,yes,yes,7371.54,24.6
1,27,yes,yes,7366.16,24.46
1,28,yes,yes,7390.48,25.09
1,29,yes,yes,7434.9,26.34
1,30,yes,yes,7539.67,25.67
1,31,yes,yes,7552.42,25.94
1,32,yes,yes,7606.13,27.72
1,33,yes,yes,7603.41,28.08
1,34,yes,yes,7771.38,29.47
1,35,yes,yes,7815.78,28.01
1,36,yes,yes,7868.91,28.04
1,37,yes,no,7739.87,27.96
1,38,yes,no,7673.9,27.96
1,39,yes,no,7707.26,27.99
1,40,yes,no,7685.73,28.01
1,41,yes,no,7582.43,27.88
1,42,yes,no,7369.87,26.01
1,43,yes,no,7220.52,23.51
1,44,yes,no,7088.58,21.26
1,45,yes,no,7036.15,21.91
1,46,yes,no,6787.34,19.94
1,47,yes,no,6651.9,19.34
2,0,no,no,6560.03,18.81
2,1,no,no,6427.04,18.47
2,2,no,no,6304.17,18.72
2,3,no,no,6034.72,18.96
2,4,no,no,5873.82,16.88
2,5,no,no,5782.89,15.14
2,6,no,no,5753.39,15.14
2,7,no,no,5767.33,15.3
2,8,no,no,5808.67,15.69
2,9,no,no,6071.33,18.96
2,10,no,no,6321.44,18.96
2,11,no,no,6922.02,21.82
2,12,no,no,7382.67,25.51
2,13,no,no,7837.99,29.27
2,14,no,no,8165.69,28.42
2,15,no,no,8238.43,28.16
2,16,no,yes,8285.14,28.14
2,17,no,yes,8355.05,28.47
2,18,no,yes,8406.61,29.61
2,19,no,yes,8459.58,28.48
2,20,no,yes,8460.27,31.18
2,21,no,yes,8444.72,31.45
2,22,no,yes,8446.55,29.61
2,23,no,yes,8521.1,29.24
2,24,no,yes,8532.69,30.39
2,25,no,yes,8592.18,30.31
2,26,no,yes,8575.1,29.36
2,27,no,yes,8540.72,30.05
2,28,no,yes,8498.61,31.39
2,29,no,yes,8436.77,30.61
2,30,no,yes,8475.02,28.17
2,31,no,yes,8497.58,28.15
2,32,no,yes,8598.42,28.73
2,33,no,yes,8560.98,29.01
2,34,no,yes,8510.32,28.15
2,35,no,yes,8374.83,28.33
2,36,no,yes,8252.49,28
2,37,no,no,8122.19,27.9
2,38,no,no,7973.82,28.08
2,39,no,no,8008.5,28.16
2,40,no,no,8026.39,28.32
2,41,no,no,7842.95,28.04
2,42,no,no,7643.65,28.52
2,43,no,no,7565.78,27.99
2,44,no,no,7372.24,23.96
2,45,no,no,7324.76,25.85
2,46,no,no,7168.73,23.65
2,47,no,no,7061.4,24.35
3,0,no,no,6938.3,24
3,1,no,no,6808.69,24.94
3,2,no,no,6603.42,23.6
3,3,no,no,6276.74,18.24
3,4,no,no,6088.16,18.6
3,5,no,no,5911.2,18.64
3,6,no,no,5814.64,17.32
3,7,no,no,5905.5,18.92
3,8,no,no,5945.39,18.96
3,9,no,no,6153.89,18.58
3,10,no,no,6400.1,23.8
3,11,no,no,6915.96,28.8
3,12,no,no,7382.05,28.76
3,13,no,no,7747.31,32.8
3,14,no,no,8080.77,35.68
3,15,no,no,8167.08,32.31
3,16,no,yes,8234.71,32.28
3,17,no,yes,8314.74,33.78
3,18,no,yes,8375.43,34.53
3,19,no,yes,8455.01,35.11
3,20,no,yes,8478.05,35.76
3,21,no,yes,8382.94,34.89
3,22,no,yes,8393.26,34.53
3,23,no,yes,8351.69,32.62
3,24,no,yes,8371.33,32.69
3,25,no,yes,8420.35,33.2
3,26,no,yes,8378.56,32.89
3,27,no,yes,8403.32,34.62
3,28,no,yes,8416.9,35.17
3,29,no,yes,8368.53,34.83
3,30,no,yes,8424.68,34.42
3,31,no,yes,8581.67,34.92
3,32,no,yes,8585.82,34.74
3,33,no,yes,8619.4,34.92
3,34,no,yes,8598.85,34.95
3,35,no,yes,8473,34.72
3,36,no,yes,8388.48,32.73
3,37,no,no,8239.01,31.82
3,38,no,no,8161.53,31.6
3,39,no,no,8132.72,31.51
3,40,no,no,8190.82,32
3,41,no,no,7990.4,32.4
3,42,no,no,7715.8,28.15
3,43,no,no,7659.04,28.18
3,44,no,no,7448.58,28.6
3,45,no,no,7379.31,28.13
3,46,no,no,7275.81,29.59
3,47,no,no,7095.72,28.51
4,0,no,no,7048.62,29.23
4,1,no,no,6830.73,28.18
4,2,no,no,6628.57,27.62
4,3,no,no,6273.04,24.4
4,4,no,no,6047.86,20.89
4,5,no,no,5867.69,18.96
4,6,no,no,5786.73,18.03
4,7,no,no,5744.54,18.96
4,8,no,no,5794.32,18.96
4,9,no,no,6041,22.47
4,10,no,no,6312.15,26.26
4,11,no,no,6843.74,30.25
4,12,no,no,7294.41,28.11
4,13,no,no,7644.45,32.49
4,14,no,no,7986.82,36.12
4,15,no,no,8056.94,32.24
4,16,no,yes,8112.16,31.79
4,17,no,yes,8235.03,32.87
4,18,no,yes,8259.13,32.27
4,19,no,yes,8356.99,32.69
4,20,no,yes,8444.19,33.98
4,21,no,yes,8448.53,34.34
